;Enestrom Number;Fuss Index;Title;English Title;Authors;Original Language;Published as;Published Date;Written Date;Original Source Citation;Archive Notes;Content Summary;Opera Omnia Citation;Record Created;URLinfo;URLpdf
10;11;249;Constructio aequationum quarundam differentialium, quae indeterminatarum separationem non admittunt;Solution of certain differential equations which do not admit separation of variables;Leonhard Euler;Latin;Journal article;1733;1733;Nova acta eruditorum, Volume 1733, pp. 369-373.;;;Series 1, Volume 22, pp.15-18.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/11;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1010&context=euler-works
11;12;370;De innumerabilibus curvis tautochronis in vacuo;On the innumerable tautochrone curves in a vacuum;Leonhard Euler;Latin;Journal article;1735;1729;Commentarii academiae scientiarum Petropolitanae, Volume 4, pp. 49-67.;;;Series 2, Volume 6, pp.15-31.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/12;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1011&context=euler-works
12;13;371;Curva tautochrona in fluido resistentiam faciente secundum quadrata celeritatum;Tautochrone curves in a fluid making a second resistance proportional to the square of the speed;Leonhard Euler;Latin;Journal article;1735;1729;Commentarii academiae scientiarum Petropolitanae, Volume 4, pp. 67-89.;;;Series 2, Volume 6, pp.32-50.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/13;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1012&context=euler-works
13;14;635;Solutio problematis astronomici ex datis tribus stellae fixae altitudinibus et temporum differentiis invenire elevationem poli et declinationem stellae. Auct. L. Eulero;Solution to problems of astronomy: given the altitudes and time differences for three fixed stars, to find the elevation of the pole and the declination of the star;Leonhard Euler;Latin;Journal article;1735;1732;Commentarii academiae scientiarum Petropolitanae, Volume 4, pp. 98-101.;;;Series 2, Volume 30, pp.1-4.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/14;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1013&context=euler-works
14;15;441a;Mechanica, volume 1;Mechanics, volume 1;Leonhard Euler;Latin;Quarto book;1736;1734;St. Petersburg: Imperial Academy of Sciences, Volume 1, pp. 1-480.;https://archive.org/details/mechanicasivemot01eule/page/n4;E16;Series 2, Volume 1, pp.1-407.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/15;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1014&context=euler-works
15;16;441b;Mechanica, volume 2;Mechanics, volume 2;Leonhard Euler;Latin;Quarto book;1736;1736;St. Petersburg: Imperial Academy of Sciences, Volume 2, pp. 1-500.;https://archive.org/details/mechanicasivemot02eule/page/n6;E15;Series 2, Volume 2, pp.1-459.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/16;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1015&context=euler-works
16;17;1;Rechenkunst;The Art of Reckoning;Leonhard Euler;German;Octavo book;1738;1735;Anmerckungen uber die zeitungen, Volume , pp. 1-277.;Euler published this work about elementary arithmetic for use in St. Petersburg schools in 1738.;;Series 3, Volume 2, pp.1-304.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/17;
17;18;;De Indorum anno solari astronomico;On the Indian solar year;Leonhard Euler;Latin;Other article;1738;1738;Historia Regni Graecorum Bactriani, by T. S. Bayer, Volume , pp. 201-213.;;"This work is the third appendix in the book Historia regni Graecorum Bactriani (History of the Bactrian kingdom of the Greeks), written by Euler's friend and St. Petersbrg Academy colleague T. S. Bayer. The original appendices were written by a Danish missionary in Tranquebar, C. T. Walther (""The Indian Doctrine of Time,"" pp. 145-190), and by Bayer himself, based on his correspondence with Walther and other Tranquebar missionaries (""Supplement to the Indian Doctrine of Time,"" pp. 191-200). Euler's contribution appears immediately after these. (Based on Kim Plofker's translation introduction.)";Series 2, Volume 30, pp.5-12.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/18;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1017&context=euler-works
18;19;120;De progressionibus transcendentibus seu quarum termini generales algebraice dari nequeunt;On transcendental progressions, that is, those whose general terms cannot be given algebraically;Leonhard Euler;Latin;Journal article;1738;1729;Commentarii academiae scientiarum Petropolitanae, Volume 5, pp. 36-57.;;"One of Euler’s earliest papers, he begins with Wallis's ""hypergeometric series"" 1! + 2! + 3! + 4! + ... (he didn’t have the ""!"" factorial notation yet) to find the value of the function for a general value of x. He defines [x] to be ∫01 (ln(1/t))x dt, which after substituting t = e-z gives [x] = ∫0∞ zx e-z dz, what we know as the Gamma function. He finds [1/2] to be √(π/2) and derives the recursive rule [x+1] = (x+1)∙[x]. He finds [p/q] to be a product of beta functions, and derives a differential quotient.";Series 1, Volume 14, pp.1-24.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/19;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1018&context=euler-works
19;20;173;De summatione innumerabilium progressionum;The summation of an innumerable progression;Leonhard Euler;Latin;Journal article;1738;1731;Commentarii academiae scientiarum Petropolitanae, Volume 5, pp. 91-105.;;E25;Series 1, Volume 14, pp.25-41.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/20;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1019&context=euler-works
20;21;374;Quomodo data quacunque curva inveniri oporteat aliam quae cum data quodammodo iuncta ad tautochronismum producendum sit idonea;For some given curve, it is required to find another curve joined in a certain way with that given, which is suitable for producing a tautochrone curve;Leonhard Euler;Latin;Journal article;1738;1732;Commentarii academiae scientiarum Petropolitanae, Volume 5, pp. 143-159.;;;Series 2, Volume 6, pp.51-64.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/21;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1020&context=euler-works
21;22;546;De communicatione motus in collisione corporum;On the communication of motion in collisions;Leonhard Euler;Latin;Journal article;1738;1731;Commentarii academiae scientiarum Petropolitanae, Volume 5, pp. 159-168.;;;Series 2, Volume 8, pp.1-6.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/22;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1021&context=euler-works
22;23;388;De curvis rectificabilibus algebraicis atque traiectoriis reciprocis algebraicis;On rectifiable algebraic curves;Leonhard Euler;Latin;Journal article;1738;1738;Commentarii academiae scientiarum Petropolitanae, Volume 5, pp. 169-174.;;;Series 1, Volume 27, pp.24-28.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/23;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1022&context=euler-works
23;24;372;Solutio singularis casus circa tautochronismum;Solution of a remarkable case concerning tautochronism;Leonhard Euler;Latin;Journal article;1738;1731;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 28-36.;;;Series 2, Volume 6, pp.65-74.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/24;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1023&context=euler-works
24;25;171;Methodus generalis summandi progressiones;A general method for summing series;Leonhard Euler;Latin;Journal article;1738;1732;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 68-97.;Euler-Kreis Mainz;"This paper leads to Bernoulli numbers from an integral of an infinite series and is called a ""beautiful triumph"" by Euler.";Series 1, Volume 14, pp.42-72.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/25;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1024&context=euler-works
25;26;23;Observationes de theoremate quodam Fermatiano aliisque ad numeros primos spectantibus;Observations on a theory of Fermat and others on looking at prime numbers;Leonhard Euler;Latin;Journal article;1738;1732;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 103-107.;;"Euler shows that the fifth Fermat number, 225+1 = 4,294,967,297, is not prime because it is divisible by 641, though he does not give any clues about how he discovered this fact. He also tacks on a few ""theorems"" but says that he does not yet know how to prove them.";Series 1, Volume 2, pp.1-5.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/26;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1025&context=euler-works
26;27;383;Problematis isoperimetrici in latissimo sensu accepti solutio generalis;On isoperimetric problems in the widest sense;Leonhard Euler;Latin;Journal article;1738;1732;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 123-155.;;;Series 1, Volume 25, pp.13-40.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/27;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1026&context=euler-works
27;28;250;Specimen de constructione aequationum differentialium sine indeterminatarum separatione;Example of the construction of equations;Leonhard Euler;Latin;Journal article;1738;1733;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 168-174.;;In this paper, Euler investigates a differential equation that he encountered in finding the arc length of an ellipse. This differential equation cannot be solved by separation of variables, as is indicated in the title of the article. Euler first develops a formula for the arc length of an ellipse by cleverly manipulating a binomial series, then shows that this formula satisfies the desired differential equation. Integrating factors make a brief appearance.;Series 1, Volume 20, pp.1-7.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/28;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1027&context=euler-works
28;29;53;De solutione problematum diophanteorum per numeros integros;On the solution of a problem of Diophantus;Leonhard Euler;Latin;Journal article;1738;1733;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 175-188.;;Euler searches for integer solutions to axx+bx+c = yy and considers some applications to figurate numbers.;Series 1, Volume 2, pp.6-17.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/29;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1028&context=euler-works
29;30;110;De formis radicum aequationum cuiusque ordinis coniectatio;Inferences on the forms of roots of equations and of their orders;Leonhard Euler;Latin;Journal article;1738;1733;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 216-231.;;"For an equation of degree n, Euler wants to define a ""resolvent equation"" of degree n-1 whose roots are related to the roots of the original equation. Thus, by solving the resolvent one can solve the original equation. In sections 2 to 7, he works this out for quadratic, cubic, and biquadratic equations. In section 8, Euler says that he wants to try the same approach for solving the quintic equation and general nth degree equations. In the rest of the paper he tries to figure out in what cases resolvents will work.";Series 1, Volume 6, pp.1-19.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/30;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1029&context=euler-works
30;31;251;Constructio aequationis differentialis axn dx = dy + y2 dx;Solution to differential equations of the form axn dx = dy + y2 dx;Leonhard Euler;Latin;Journal article;1738;1733;Commentarii academiae scientiarum Petropolitanae, Volume 6, pp. 124-137.;;;Series 1, Volume 22, pp.19-35.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/31;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1030&context=euler-works
31;32;;Von der Gestalt der Erden;On the shape of the earth;Leonhard Euler;Russian, German;Journal article;1738;1738;Remarks on the Vedomosti, Volume 1738.;;;Series 3, Volume 2, pp.325-346.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/32;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1031&context=euler-works
32;33;529;Tentamen novae theoriae musicae;An attempt at a new theory of music, exposed in all clearness, according to the most well-founded principles of harmony;Leonhard Euler;Latin;Quarto book;1739;1731;St. Petersburg: Imperial Academy of Sciences, Volume 1739, pp. 1-263.;;;Series 3, Volume 1, pp.197-427.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/33;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1032&context=euler-works
33;34;737;Dissertatio de igne in qua ejus natura et proprietates explicantur;Dissertation on fire in which its nature and properties are explained;Leonhard Euler;Latin;Paris prize article;1739;1737;Pièce qui ont remporté le prix de l'académie royale des sciences, Volume 1738, pp. 2018-01-19.;;"Euler argues that fire is the result of the bursting of tiny glassy balls of highly compressed air in the pores of bodies, so that ""heat consists in a certain motion of the smallest particles of a body."" Thus, all the phenomena associated with heat and fire can be deduced from the laws of mechanics without supposing any ""occult qualities."" He also says that light is the elastic vibration of the ether that is initiated by the explosions of little balls; hence, light is propagated by the same laws as sound. (Based on Clifford Truesdell's introduction to Opera Omnia Series II, Volume 12.)";Series 3, Volume 10;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/34;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1033&context=euler-works
34;35;;Einleitung zur Rechen-Kunst zum Gebrauch des Gymnasii bey der Kayserlichen Academie der Wissenschafften in St. Petersburg;Introduction to the Art of Reckoning, for use in the Gymnasiums of the Imperial Academy of Sciences in St. Petersburg;Leonhard Euler;German;Octavo book;1740;1740;St. Petersburg: Imperial Academy of Sciences, pp. 1-257.;;"After the first 29 pages, which give information about ""die fürnehmsten Sorten,"" a new title page follows: ""Zweyter Theil von den Speciebus mit bennanten Zahlen."" The second part contains 5 chapters: (1) Von der Resolution und Reduction; (2) Von der Addition und Subtraction in bennanten Zahlen; (3) Von der Multiplication und Division verschiedener Sorten durch gantze Zahlen; (4) Von der Division benannter Zahlen durch benannte Zahlen; (5) Von der Multiplication und Division benannter Zahlen durch Brüche.";Series 3, Volume 2;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/35;
35;36;12;Solutio problematis arithmetici de inveniendo numero, qui per datos numeros divisus relinquat data residua;Solution of problems of arithmetic of finding numbers which, when divided by given numbers, leave given remainders;Leonhard Euler;Latin;Journal article;1740;1740;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 46-66.;;Euler proves the Chinese remainder theorem by constructing an algorithm to find the smallest number which, divided by given numbers, leaves given remainders. He begins by solving the case in which two relatively prime divisors with corresponding remainders are given and proposes that by repeating his algorithm, he can solve similar problems with any number of constraints. Euler then discusses scenarios in which divisors are not relatively prime, and ends the paper with an application of his algorithm to a classic problem: dating events from their Roman indictions.;Series 1, Volume 2, pp.18-32.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/36;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1035&context=euler-works
36;37;614;De motu planetarum et orbitarum determinatione;On the motion of planets and orbits;Leonhard Euler;Latin;Journal article;1740;1735;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 67-85.;;;Series 2, Volume 28, pp.1-16.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/37;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1036&context=euler-works
37;38;667;Orbitae solaris determinatio;Determination of orbits around the sun;Leonhard Euler;Latin;Journal article;1740;1740;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 86-96.;;;Series 2, Volume 28, pp.17-25.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/38;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1037&context=euler-works
38;39;625;Solutio problematum quorundam astronomicorum;Solution to a problem concerning astronomy;Leonhard Euler;Latin;Journal article;1740;1740;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 97-98.;;"According to Eneström, the problems are: Given the maximal equation of a planet, to find the eccentricity of its orbit; Given the eccentricity of the planetary orbit, to find the maximal equation; Given the eccentricity of the planetary orbit, to find the mean anomaly to which the maximal equation corresponds.";Series 2, Volume 28, pp.26-27.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/39;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1038&context=euler-works
39;40;482;De minimis oscillationibus corporum tam rigidorum quam flexibilium. Methodus nova et facilis.;On the smallest oscillations of rigid and flexible bodies. A new and easy method.;Leonhard Euler;Latin;Journal article;1740;1735;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 99-122.;;This is Euler's first paper on vibrating bars. He integrates the differential equation k4y''' = y using power series. (Based on Clifford Truesdell's An idiot's fugitive essays on science: methods, criticisms, training, circumstances.);Series 2, Volume 10, pp.17-34.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/40;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1039&context=euler-works
40;41;174;De summis serierum reciprocarum;On the sums of series of reciprocals;Leonhard Euler;Latin;Journal article;1740;1735;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 123-134.;According to Eneström, this paper was not handed in after its presentation at the St. Petersburg Academy.;Euler finds the values of ζ(2n), where ζ is now named as the Riemann zeta function. He introduces the Euler numbers En. All the odd-indexed Euler numbers are zero, E0=1, E2=-1, E4=5, E6=-61, E8=1380, and they satisfy (E+1)n + (E-1)n = 0. (The Euler numbers are the coefficients of the series expansion of sech(x) and are related to Bernoulli numbers.) Among other things, this paper includes an infinite product formula for sin(x)/x.;Series 1, Volume 14, pp.73-86.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/41;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1040&context=euler-works
41;42;378;De linea celerrimi descensus in medio quocunque resistente;On the curve of fastest descent in whatever resistent medium;Leonhard Euler;Latin;Journal article;1740;1734;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 135-149.;;Euler determines various properties of the brachistochrone curve subject to friction, taking the form of (v/c)n, where v is the squared velocity and c is the squared velocity at which the forces of friction and gravity cancel. He derives the brachistochrone property 2v/r = N, where r is the radius of curvature and N is the component of force that is perpendicular to the curve. Euler recalls that the frictionless solution reads s2 = 2a(s–x), for some constant a, which is the already-established equation for a cycloid. He further considers the frictionless case with centripetal force taking the form ym, where y is the distance to the attracting point. If a is the initial distance from this point, the solution reads Az2 = am+3 – ym+3 for some constant A. Now, looking at the brachistochrone with friction, Euler calls the horizontal coordinate y and the vertical coordinate x. Defining p = ds/dx, Euler finds that the equation 1/(p3nqn) = ngn-1/(2n-1cn) ∫ (p2–1)n-1dp/p2n = P-n must always hold, which reduces conveniently for n=1. He then finds the solution s = c∙ln((s–ax–ac+c)/(c–ac)), after which he proceeds to look for some expressions for the involved arc length. He ends by looking at how other methods would have influenced the solution and how this solution relates to the tautochrone.;Series 1, Volume 25, pp.41-53.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/42;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1041&context=euler-works
42;43;141;De progressionibus harmonicis observationes;On harmonic progressions;Leonhard Euler;Latin;Journal article;1740;1734;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 150-161.;;Euler gives the now-named Euler-Mascheroni constant, accurate to five decimal places, and examines several series related to log(n).;Series 1, Volume 14, pp.87-100.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/43;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1042&context=euler-works
43;44;340;De infinitis curvis eiusdem generis seu methodus inveniendi aequationes pro infinitis curvis eiusdem generis;On infinite(ly many) curves of the same type, that is, a method of finding equations for infinite(ly many) curves of the same type;Leonhard Euler;Latin;Journal article;1740;1734;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 174-189, 180-183.;Due to a printing error, the page numbers run from 174 to 189, and then 180 to 183.;;Series 1, Volume 22, pp.36-56.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/44;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1043&context=euler-works
44;45;341;Additamentum ad dissertationem de infinitis curvis eiusdem generis;Addendum to the dissertation on infinite(ly many) curves of the same type;Leonhard Euler;Latin;Journal article;1740;1734;Commentarii academiae scientiarum Petropolitanae, Volume 7, pp. 184-200.;;;Series 1, Volume 22, pp.57-75.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/45;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1044&context=euler-works
45;46;176;Methodus universalis serierum convergentium summas quam proxime inveniendi;Universal method of accurately finding sums of convergent series;Leonhard Euler;Latin;Journal article;1741;1735;Commentarii academiae scientiarum Petropolitanae, Volume 8, pp. 3-9.;;"This paper begins with an expression of the trapezoid rule for ""formal mechanical quadrature."" Euler also sums the first ten terms of ζ(2) to get 1.549768 and gives an expression for the error term. Then he determines the sum of the first million terms of the harmonic series to be 14.392669.";Series 1, Volume 14, pp.101-107.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/46;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1045&context=euler-works
46;47;172;Inventio summae cuiusque seriei ex dato termino generali;Finding the sum of any series from a given general term;Leonhard Euler;Latin;Journal article;1741;1735;Commentarii academiae scientiarum Petropolitanae, Volume 8, pp. 9-22.;;E25;Series 1, Volume 14, pp.108-123.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/47;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1046&context=euler-works
47;48;413;Investigatio binarum curvarum, quarum arcus eidem abscissae respondentes summam algebraicam constituant;Investigation of pairs of curves whose arcs that correspond to the same abscissa constitute an algebraic sum;Leonhard Euler;Latin;Journal article;1741;1734;Commentarii academiae scientiarum Petropolitanae, Volume 8, pp. 23-29.;;;Series 1, Volume 22, pp.76-82.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/48;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1047&context=euler-works
48;49;483;De oscillationibus fili flexilis quotcunque pondusculis onusti;On the oscillations of a flexible wire weighted with arbitrarily many little weights (?);Leonhard Euler;Latin;Journal article;1741;1734;Commentarii academiae scientiarum Petropolitanae, Volume 8, pp. 30-47.;;;Series 2, Volume 10, pp.35-49.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/49;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1048&context=euler-works
49;50;671;Methodus computandi aequationem meridiei;A method for computing the equation of a meridian;Leonhard Euler;Latin;Journal article;1741;1735;Commentarii academiae scientiarum Petropolitanae, Volume 8, pp. 48-65.;;;Series 2, Volume 30, pp.13-25.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/50;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1049&context=euler-works
